Column,Data Type,Category,Missing Values,Missing %
rowid,int64,Numerical,0,0.0
kepid,int64,ID,0,0.0
kepoi_name,object,ID,0,0.0
kepler_name,object,ID,7270,76.01
koi_disposition,object,Target,0,0.0
koi_pdisposition,object,Categorical,0,0.0
koi_score,float64,Numerical,1510,15.79
koi_fpflag_nt,int64,Numerical,0,0.0
koi_fpflag_ss,int64,Numerical,0,0.0
koi_fpflag_co,int64,Numerical,0,0.0
koi_fpflag_ec,int64,Numerical,0,0.0
koi_period,float64,Numerical,0,0.0
koi_period_err1,float64,Numerical,454,4.75
koi_period_err2,float64,Numerical,454,4.75
koi_time0bk,float64,Numerical,0,0.0
koi_time0bk_err1,float64,Numerical,454,4.75
koi_time0bk_err2,float64,Numerical,454,4.75
koi_impact,float64,Numerical,363,3.8
koi_impact_err1,float64,Numerical,454,4.75
koi_impact_err2,float64,Numerical,454,4.75
koi_duration,float64,Numerical,0,0.0
koi_duration_err1,float64,Numerical,454,4.75
koi_duration_err2,float64,Numerical,454,4.75
koi_depth,float64,Numerical,363,3.8
koi_depth_err1,float64,Numerical,454,4.75
koi_depth_err2,float64,Numerical,454,4.75
koi_prad,float64,Numerical,363,3.8
koi_prad_err1,float64,Numerical,363,3.8
koi_prad_err2,float64,Numerical,363,3.8
koi_teq,float64,Numerical,363,3.8
koi_insol,float64,Numerical,321,3.36
koi_insol_err1,float64,Numerical,321,3.36
koi_insol_err2,float64,Numerical,321,3.36
koi_model_snr,float64,Numerical,363,3.8
koi_tce_plnt_num,float64,Numerical,346,3.62
koi_tce_delivname,object,Categorical,346,3.62
koi_steff,float64,Numerical,363,3.8
koi_steff_err1,float64,Numerical,468,4.89
koi_steff_err2,float64,Numerical,483,5.05
koi_slogg,float64,Numerical,363,3.8
koi_slogg_err1,float64,Numerical,468,4.89
koi_slogg_err2,float64,Numerical,468,4.89
koi_srad,float64,Numerical,363,3.8
koi_srad_err1,float64,Numerical,468,4.89
koi_srad_err2,float64,Numerical,468,4.89
ra,float64,Numerical,0,0.0
dec,float64,Numerical,0,0.0
koi_kepmag,float64,Numerical,1,0.01
