rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_period_outlier,koi_duration_outlier,koi_depth_outlier,koi_prad_outlier,koi_teq_outlier,koi_insol_outlier,koi_model_snr_outlier,koi_steff_outlier,koi_slogg_outlier,koi_srad_outlier,koi_kepmag_outlier,outlier_flag,predicted_confirmed_probability,priority,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk
846,8804283,K01276.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,22.79020351,6.878e-05,-6.878e-05,138.68515,0.00257,-0.00257,0.036,0.415,-0.036,5.0394,0.079,-0.079,617.9,13.9,-13.9,2.57,0.36,-0.36,634.0,38.27,14.48,-11.44,47.7,1.0,q1_q17_dr25_tce,5478.0,82.0,-74.0,4.354,0.132,-0.096,1.053,0.147,-0.147,285.0361,45.07106,14.766,0,0,0,0,0,0,0,0,0,0,0,0,0.99,High,0,0,0,0,0,Low
807,4274548,K01331.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.999,0,0,0,0,6.80082032,2.28e-05,-2.28e-05,359.17999,0.00243,-0.00243,0.597,0.086,-0.448,1.9883,0.0915,-0.0915,699.9,33.0,-33.0,1.88,0.23,-0.12,697.0,55.83,24.87,-13.68,25.5,1.0,q1_q17_dr25_tce,4805.0,172.0,-172.0,4.633,0.027,-0.063,0.688,0.083,-0.045,294.50842,39.398682,15.238,0,0,0,0,0,0,0,0,0,0,0,0,0.9733333333333334,High,0,0,0,0,0,Low
2647,6291837,K00308.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,35.5969684,0.0001131,-0.0001131,187.52765,0.00254,-0.00254,0.895,0.035,-0.612,6.691,0.215,-0.215,684.5,14.8,-14.8,3.72,0.64,-0.43,646.0,41.06,19.66,-11.68,52.5,1.0,q1_q17_dr25_tce,6212.0,111.0,-136.0,4.309,0.095,-0.116,1.209,0.21,-0.14,293.92972,41.602871,12.351,0,0,0,0,0,0,0,0,0,0,0,0,0.9733333333333334,High,0,0,0,0,0,Low
1857,3937519,K00221.02,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,5.89661966,4.591e-05,-4.591e-05,134.03046,0.00701,-0.00701,0.039,0.419,-0.039,3.154,0.189,-0.189,144.0,10.4,-10.4,1.28,0.26,-0.22,1000.0,237.1,128.71,-82.04,15.3,2.0,q1_q17_dr25_tce,5392.0,80.0,-72.0,4.314,0.165,-0.15,1.087,0.224,-0.184,285.93069,39.098141,14.622,0,0,0,0,0,0,0,0,0,0,0,0,0.9633333333333334,High,0,0,0,0,0,Low
1592,2832589,K01942.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,10.84969477,2.777e-05,-2.777e-05,136.74432,0.0021,-0.0021,0.55,0.28,-0.347,3.474,0.0673,-0.0673,1122.1,27.5,-27.5,2.67,0.38,-0.21,676.0,49.3,23.34,-12.14,43.5,1.0,q1_q17_dr25_tce,5251.0,158.0,-158.0,4.592,0.032,-0.097,0.778,0.112,-0.06,286.00674,38.009541,15.409,0,0,0,0,0,0,0,0,0,0,0,0,0.9566666666666668,High,0,0,0,0,0,Low
2658,8709688,K03019.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.963,0,0,0,0,4.17939037,2.877e-05,-2.877e-05,133.84818,0.0049,-0.0049,0.317,0.144,-0.317,2.647,0.132,-0.132,172.8,12.2,-12.2,1.52,0.24,-0.23,1194.0,478.98,194.07,-154.33,16.1,1.0,q1_q17_dr25_tce,5633.0,76.0,-76.0,4.296,0.15,-0.113,1.162,0.179,-0.179,298.40137,44.838181,14.927,0,0,0,0,0,0,0,0,0,0,0,0,0.95,High,0,0,0,0,0,Low
1597,8578780,K02023.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.999,0,0,0,0,13.59051547,5.634e-05,-5.634e-05,133.07217,0.0033,-0.0033,0.232,0.222,-0.231,3.784,0.104,-0.104,621.9,24.9,-24.9,2.4,0.61,-0.33,724.0,64.8,50.06,-22.05,27.7,1.0,q1_q17_dr25_tce,5442.0,164.0,-164.0,4.409,0.135,-0.18,0.974,0.248,-0.133,297.95416,44.66748,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0.95,High,0,0,0,0,0,Low
1015,9823487,K01489.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,16.00460392,5.995e-05,-5.995e-05,140.47981,0.00301,-0.00301,0.49,0.04,-0.424,3.9475,0.0887,-0.0887,831.9,28.2,-28.2,2.24,0.32,-0.16,583.0,27.41,12.98,-6.54,34.3,1.0,q1_q17_dr25_tce,5180.0,155.0,-155.0,4.597,0.026,-0.097,0.769,0.111,-0.056,288.23666,46.605919,15.554,0,0,0,0,0,0,0,0,0,0,0,0,0.95,High,0,0,0,0,0,Low
1258,4770365,K01475.02,Kepler-1 b,CANDIDATE,CANDIDATE,0.975,0,0,0,0,9.51220046,3.21e-05,-3.21e-05,185.47893,0.00296,-0.00296,0.133,0.337,-0.133,2.9497,0.0837,-0.0837,1169.4,40.2,-40.2,1.99,0.08,-0.1,530.0,18.66,3.38,-3.11,31.9,2.0,q1_q17_dr25_tce,4224.0,84.0,-84.0,4.662,0.025,-0.02,0.603,0.027,-0.03,297.43039,39.847839,15.937,0,0,0,0,0,0,0,0,0,0,0,0,0.9466666666666668,High,0,0,0,0,0,Low
1291,7386827,K01704.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,10.4188915,2.388e-05,-2.388e-05,137.74971,0.00193,-0.00193,0.856,0.051,-0.594,3.0069,0.0485,-0.0485,670.0,18.5,-18.5,3.17,0.93,-0.57,855.0,126.48,111.61,-51.22,42.1,1.0,q1_q17_dr25_tce,5692.0,173.0,-173.0,4.36,0.132,-0.198,1.064,0.311,-0.191,298.01443,42.957458,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0.9433333333333334,High,0,0,0,0,0,Low
