kepid,kepoi_name,koi_disposition,koi_score,predicted_confirmed_probability,koi_prad,koi_depth,koi_period,koi_model_snr,outlier_flag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk,evidence
12367464,K06250.01,CANDIDATE,0.991,0.0166666666666666,32.99,12319.0,1.853209359,238.9,1,0,1,0,0,1,1,0,1,13,High,Stellar eclipse flag; Very large inferred radius; Very deep transit; Prepared-data outlier
8081482,K01539.01,CANDIDATE,0.488,0.0133333333333333,29.8,71867.0,2.819453322,202.0,1,0,1,0,0,1,1,0,1,12,High,Stellar eclipse flag; Very large inferred radius; Very deep transit; Prepared-data outlier
10971674,K01296.01,CANDIDATE,0.565,0.0933333333333333,21.65,32634.0,2.380862632,2590.6,1,0,1,0,0,1,1,0,1,12,High,Stellar eclipse flag; Very large inferred radius; Very deep transit; Prepared-data outlier
7380537,K00883.01,CANDIDATE,0.997,0.5166666666666667,12.04,37492.0,2.688899233,1011.6,1,0,0,0,0,0,1,0,1,7,High,Very large inferred radius; Very deep transit; Prepared-data outlier
5297298,K00130.01,CANDIDATE,0.913,0.01,21.95,13715.0,34.193600311,1405.6,1,0,0,0,0,0,1,0,1,7,High,Very large inferred radius; Very deep transit; Prepared-data outlier
9025971,K03680.01,CANDIDATE,0.999,0.7433333333333333,11.49,12990.0,141.2415405,380.9,1,0,0,0,0,0,1,0,1,7,High,Very large inferred radius; Very deep transit; Prepared-data outlier
6805414,K05329.01,CANDIDATE,0.999,0.3966666666666666,10.99,10812.0,200.2350497,220.6,1,0,0,0,0,0,1,0,1,7,High,Very large inferred radius; Very deep transit; Prepared-data outlier
8813698,K01268.01,CANDIDATE,0.996,0.31,13.57,9010.2,268.9410974,120.4,1,0,0,0,0,0,1,0,1,6,High,Very large inferred radius; Deep transit; Prepared-data outlier
3644071,K01192.01,CANDIDATE,0.334,0.1366666666666666,57.82,8708.0,1295.362215,164.0,1,0,0,0,0,0,1,0,1,6,High,Very large inferred radius; Deep transit; Prepared-data outlier
7017372,K03689.01,CANDIDATE,1.0,0.6166666666666667,12.74,8531.2,5.24088367,385.7,1,0,0,0,0,0,1,0,1,6,High,Very large inferred radius; Deep transit; Prepared-data outlier
